source_title,source_url,source_category,proposed_wp_slug,existing_wp_post_id,property_type,transaction_candidate,city,postal_code,available_sf,building_sf,lot_acres,suite_count,image_count,has_brochure,redirect_required,warning_count,warnings,transaction_v1,transaction_v2,transaction_confidence_v2,address_confidence_v2,brochure_text_status,broker_candidate_count,source_coordinates_found,featured_image_confidence_v2,decision_known_count,decision_unknown_count,decision_conflict_count,suite_count_v2,brochure_page_conflicts,review_decision,review_notes
"0 Charles Lane Sugar Land, TX 77498",https://www.aspirecre.com/properties/0-charles-lane-sugar-land-tx-7749,Land,0-charles-lane-sugar-land-tx-7749,,Land,,Sugar Land,77498,,,1.5,0,4,True,False,3,missing_transaction; featured_image_low_confidence; no_structured_highlights,,,,high_agreement,available,2,True,low,5,10,0,0,,,
"0 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/0-hiram-clarke-road-houston-tx-77045,Land,0-hiram-clarke-road-houston-tx-77045,,Land,,Houston,77045,,,0.91,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,6,9,0,0,,,
"10122 Long Point Road, Houston TX 77043",https://www.aspirecre.com/properties/10122-long-point-road-houston-tx-77043,Office,10122-long-point-road-houston-tx-77043,,Office,,Houston,77043,,,,0,13,True,False,3,suite_parse_review; missing_transaction; featured_image_low_confidence,,For Lease,high,high_agreement,available,2,True,low,3,13,0,0,,,
"10519 South Post Oak Houston, TX 77035",https://www.aspirecre.com/properties/10519-south-post-oak-houston-texas,Retail,10519-south-post-oak-houston-texas,,Retail,,,77035,1530,4403,0.44,0,5,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,,,high,available,3,True,low,2,12,0,0,,,
"10750 Hammerly Blvd. - 10750 Hammerly Boulevard Houston, TX 77043",https://www.aspirecre.com/properties/10750-hammerly-blvd-houston-tx-77043-p7dr9,Office,10750-hammerly-blvd-houston-tx-77043-p7dr9,,Office,,Houston,77043,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,6,10,0,0,,,
"1127 Marina Bay Dr – 1127 Marina Bay Dr, Kemah, TX 77565",https://www.aspirecre.com/properties/1127-marina-bay-dr-kemah-tx-77565,Retail,1127-marina-bay-dr-kemah-tx-77565,,Retail,,Kemah,77565,,,0.75,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,,,high,available,0,True,low,6,8,0,0,,,
"11511 Katy Freeway Houston, Texas 77079",https://www.aspirecre.com/properties/11511-katy-freeway-houston-texas-77079,Office,11511-katy-freeway-houston-texas-77079,,Office,,Houston,77079,,,,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,3,13,0,0,,,
"One Woodbranch Center - 11931 Wickchester Lane Houston, TX 77043",https://www.aspirecre.com/properties/11931-wickchester-lane-houston-texas-77043,Office,11931-wickchester-lane-houston-texas-77043,,Office,,Houston,77043,,,,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,7,9,0,0,,,
"12425 John F Kennedy Blvd. Houston, TX 77039",https://www.aspirecre.com/properties/12425-john-f-kennedy-blvd-houston-tx-77039,Retail,12425-john-f-kennedy-blvd-houston-tx-77039,,Retail,For Lease,Houston,77039,10000,,5.93,5,16,True,False,1,featured_image_low_confidence,For Lease,For Lease,high,high,unavailable,0,True,low,1,13,0,5,lease_rate_min,,
"14211 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/14211-hiram-clarke-road-houston-tx-77045,Retail,14211-hiram-clarke-road-houston-tx-77045,,Retail,,Houston,77045,,,,0,13,True,False,4,suite_parse_review; structured_value_review; missing_transaction; featured_image_low_confidence,,,,high_agreement,available,3,True,low,7,7,0,0,price_per_sf,,
