source_title,source_url,property_type_v2,property_type_v3,property_type_changed,transaction_v2,transaction_v3,transaction_derivation,address_v3,address_status,geocoding_needed,primary_image_status,suite_count,availability_context_count,contact_count,blocking_conflicts,non_blocking_warnings,remaining_conflicts,import_readiness,review_decision,review_notes,submitted_address,geocode_status,matched_address,latitude,longitude,geocode_review_reason,source_coordinate_status,source_coordinate_distance_m,inside_current_pmtiles_bounds,existing_wp_coordinate,existing_wp_coordinate_distance_m,import_readiness_v3,geocode_readiness
"0 Charles Lane Sugar Land, TX 77498",https://www.aspirecre.com/properties/0-charles-lane-sugar-land-tx-7749,Land,Land,False,,For Sale,strongly_derived,"{""address_line_1"": ""0 CHARLES LANE"", ""city"": ""SUGAR LAND"", ""state"": ""TX"", ""postal_code"": ""77498""}",reliable,True,review_required,0,0,2,,derived_transaction_requires_approval; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""0 CHARLES LANE"", ""city"": ""SUGAR LAND"", ""state"": ""TX"", ""postal_code"": ""77498""}",UNMATCHED,,,,,,,,,,REVIEW_REQUIRED,READY_WITHOUT_COORDINATES
"0 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/0-hiram-clarke-road-houston-tx-77045,Land,Land,False,,,unresolved,"{""address_line_1"": ""0 HIRAM CLARKE ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77045""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""0 HIRAM CLARKE ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77045""}",UNMATCHED,,,,,,,,,,REVIEW_REQUIRED,READY_WITHOUT_COORDINATES
"10122 Long Point Road, Houston TX 77043",https://www.aspirecre.com/properties/10122-long-point-road-houston-tx-77043,Office,Office,False,For Lease,,unresolved,"{""address_line_1"": ""10122 LONG POINT ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",reliable,True,review_required,0,0,2,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""10122 LONG POINT ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",ACCEPTED,"10122 LONG POINT RD, HOUSTON, TX, 77043",29.79430009768,-95.546546699953,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"10519 South Post Oak Houston, TX 77035",https://www.aspirecre.com/properties/10519-south-post-oak-houston-texas,Retail,Retail,False,,,unresolved,"{""address_line_1"": ""10519 S. POST OAK ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77035""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""10519 S. POST OAK ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77035""}",ACCEPTED,"10519 S POST OAK RD, HOUSTON, TX, 77035",29.668696575388,-95.462305366124,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"10750 Hammerly Blvd. - 10750 Hammerly Boulevard Houston, TX 77043",https://www.aspirecre.com/properties/10750-hammerly-blvd-houston-tx-77043-p7dr9,Office,Office,False,,,unresolved,"{""address_line_1"": ""10750 HAMMERLY BOULEVARD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""10750 HAMMERLY BOULEVARD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",ACCEPTED,"10750 HAMMERLY BLVD, HOUSTON, TX, 77043",29.812732094579,-95.565924479255,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"1127 Marina Bay Dr – 1127 Marina Bay Dr, Kemah, TX 77565",https://www.aspirecre.com/properties/1127-marina-bay-dr-kemah-tx-77565,Retail,Retail,False,,For Sale,strongly_derived,"{""address_line_1"": ""1127 Marina Bay Dr"", ""city"": ""Kemah"", ""state"": ""TX"", ""postal_code"": ""77565""}",reliable,True,review_required,0,0,0,,derived_transaction_requires_approval; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""1127 Marina Bay Dr"", ""city"": ""Kemah"", ""state"": ""TX"", ""postal_code"": ""77565""}",UNMATCHED,,,,,,,,,,REVIEW_REQUIRED,READY_WITHOUT_COORDINATES
"11511 Katy Freeway Houston, Texas 77079",https://www.aspirecre.com/properties/11511-katy-freeway-houston-texas-77079,Office,Office,False,,,unresolved,"{""address_line_1"": ""11511 KATY FREEWAY"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77079""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""11511 KATY FREEWAY"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77079""}",ACCEPTED,"11511 KATY FWY, HOUSTON, TX, 77079",29.784105509696,-95.585656218205,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"One Woodbranch Center - 11931 Wickchester Lane Houston, TX 77043",https://www.aspirecre.com/properties/11931-wickchester-lane-houston-texas-77043,Office,Office,False,,,unresolved,"{""address_line_1"": ""11931 WICKCHESTER LANE"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""11931 WICKCHESTER LANE"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77043""}",ACCEPTED,"11931 WICKCHESTER LN, HOUSTON, TX, 77043",29.788425509202,-95.597031842686,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"12425 John F Kennedy Blvd. Houston, TX 77039",https://www.aspirecre.com/properties/12425-john-f-kennedy-blvd-houston-tx-77039,Retail,Retail,False,For Lease,For Lease,strongly_derived,"{""address_line_1"": ""12425 John F Kennedy Blvd."", ""city"": ""Houston"", ""state"": ""TX"", ""postal_code"": ""77039""}",reliable,True,review_required,5,0,0,,derived_transaction_requires_approval; primary_image_review_required; needs_geocoding; brochure_text_unavailable,,REVIEW_REQUIRED,,,"{""address_line_1"": ""12425 John F Kennedy Blvd."", ""city"": ""Houston"", ""state"": ""TX"", ""postal_code"": ""77039""}",ACCEPTED,"12425 JOHN F KENNEDY BLVD, HOUSTON, TX, 77039",29.904987497414,-95.332020872505,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"14211 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/14211-hiram-clarke-road-houston-tx-77045,Retail,Retail,False,,,unresolved,"{""address_line_1"": ""14211 HIRAM CLARKE ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77045""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,price_per_sf,REVIEW_REQUIRED,,,"{""address_line_1"": ""14211 HIRAM CLARKE ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77045""}",ACCEPTED,"14211 HIRAM CLARKE RD, HOUSTON, TX, 77045",29.620067368208,-95.445915258278,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
