source_title,source_url,source_category,proposed_wp_slug,existing_wp_post_id,property_type,transaction_candidate,city,postal_code,available_sf,building_sf,lot_acres,suite_count,image_count,has_brochure,redirect_required,warning_count,warnings,review_decision,review_notes
"0 Charles Lane Sugar Land, TX 77498",https://www.aspirecre.com/properties/0-charles-lane-sugar-land-tx-7749,Land,0-charles-lane-sugar-land-tx-7749,,Land,,Sugar Land,77498,,,1.5,0,4,True,False,3,missing_transaction; featured_image_low_confidence; no_structured_highlights,,
"0 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/0-hiram-clarke-road-houston-tx-77045,Land,0-hiram-clarke-road-houston-tx-77045,,Land,,Houston,77045,,,0.91,0,6,True,False,2,missing_transaction; featured_image_low_confidence,,
"10122 Long Point Road, Houston TX 77043",https://www.aspirecre.com/properties/10122-long-point-road-houston-tx-77043,Office,10122-long-point-road-houston-tx-77043,,Office,,Houston,77043,,,,0,13,True,False,3,suite_parse_review; missing_transaction; featured_image_low_confidence,,
"10519 South Post Oak Houston, TX 77035",https://www.aspirecre.com/properties/10519-south-post-oak-houston-texas,Retail,10519-south-post-oak-houston-texas,,Retail,,,77035,1530,4403,0.44,0,5,True,False,3,ambiguous_address; missing_transaction; featured_image_low_confidence,,
"10750 Hammerly Blvd. - 10750 Hammerly Boulevard Houston, TX 77043",https://www.aspirecre.com/properties/10750-hammerly-blvd-houston-tx-77043-p7dr9,Office,10750-hammerly-blvd-houston-tx-77043-p7dr9,,Office,,Houston,77043,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,
"1127 Marina Bay Dr – 1127 Marina Bay Dr, Kemah, TX 77565",https://www.aspirecre.com/properties/1127-marina-bay-dr-kemah-tx-77565,Retail,1127-marina-bay-dr-kemah-tx-77565,,Retail,,Kemah,77565,,,0.75,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,
"11511 Katy Freeway Houston, Texas 77079",https://www.aspirecre.com/properties/11511-katy-freeway-houston-texas-77079,Office,11511-katy-freeway-houston-texas-77079,,Office,,Houston,77079,,,,0,10,True,False,2,missing_transaction; featured_image_low_confidence,,
"One Woodbranch Center - 11931 Wickchester Lane Houston, TX 77043",https://www.aspirecre.com/properties/11931-wickchester-lane-houston-texas-77043,Office,11931-wickchester-lane-houston-texas-77043,,Office,,Houston,77043,,,,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,
"12425 John F Kennedy Blvd. Houston, TX 77039",https://www.aspirecre.com/properties/12425-john-f-kennedy-blvd-houston-tx-77039,Retail,12425-john-f-kennedy-blvd-houston-tx-77039,,Retail,For Lease,Houston,77039,10000,,5.93,5,16,True,False,1,featured_image_low_confidence,,
"14211 Hiram Clarke Road Houston, TX 77045",https://www.aspirecre.com/properties/14211-hiram-clarke-road-houston-tx-77045,Retail,14211-hiram-clarke-road-houston-tx-77045,,Retail,,Houston,77045,,,,0,13,True,False,4,suite_parse_review; structured_value_review; missing_transaction; featured_image_low_confidence,,
"Sugarwell Plaza - 14248 Bellaire Boulevard Houston, TX 77083",https://www.aspirecre.com/properties/14248-bellaire-blvd-houston-tx-77083,Retail,14248-bellaire-blvd-houston-tx-77083,,Retail,,Houston,77083,,,,0,7,True,False,2,missing_transaction; featured_image_low_confidence,,
"14602 Presidio Square Boulevard, Houston, TX 77083",https://www.aspirecre.com/properties/14602-presidio-square-boulevard-houston-tx-77083,Office,14602-presidio-square-boulevard-houston-tx-77083,121,Office,,Houston,77083,,,2.48,0,9,True,False,3,structured_value_review; missing_transaction; featured_image_low_confidence,,
"1475 Washington Boulevard Beaumont, TX 77705",https://www.aspirecre.com/properties/1475-washington-blvd-beaumont-tx-77705,Land,1475-washington-blvd-beaumont-tx-77705,,Land,,Beaumont,77705,,,0.48,0,2,True,False,2,missing_transaction; featured_image_low_confidence,,
"16803 Stuebner Airline Road Spring, TX 77379",https://www.aspirecre.com/properties/16803-stuebner-airline-road-spring-tx-77379,Retail,16803-stuebner-airline-road-spring-tx-77379,,Retail,For Lease,Spring,77379,,,,0,6,True,False,2,structured_value_conflict; featured_image_low_confidence,,
"16840 Clay Road Houston, TX 77084",https://www.aspirecre.com/properties/16840-clay-road-houston-tx-77084,Industrial,16840-clay-road-houston-tx-77084,120,Industrial / Flex,,Houston,77084,,,,0,5,True,False,2,missing_transaction; featured_image_low_confidence,,
"1700 Wirt Road Houston, TX 77055",https://www.aspirecre.com/properties/1700-wirt-road-houston-tx-77055,Office,1700-wirt-road-houston-tx-77055,,Office,,Houston,77055,,,,0,4,True,False,2,missing_transaction; featured_image_low_confidence,,
"NWQ of Longenbaugh & Greenhouse Road – 19520 Longenbaugh Road Cypress, Texas 77433",https://www.aspirecre.com/properties/19520-longenbaugh-road-cypress-texas-77433,Land,19520-longenbaugh-road-cypress-texas-77433,,Land,,Cypress,77433,,,,0,5,True,False,3,structured_value_conflict; ambiguous_transaction; featured_image_low_confidence,,
"19737 Lee Road Humble, TX 77338",https://www.aspirecre.com/properties/19737-lee-road-humble-tx-77338,Industrial,19737-lee-road-humble-tx-77338,,Industrial / Flex,For Lease,Humble,77338,,,,0,9,True,False,2,structured_value_review; featured_image_low_confidence,,
